"REF_DATE","GEO","DGUID","Coal and coke, components","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1947-10","Canada","","Coal made available for consumption","Tonnes","288","thousands","3","v199","1.7","4507","","","t","0"
"1947-10","Canada","","Coke production","Tonnes","288","thousands","3","v200","1.8","254","","","","0"
"1947-10","Nova Scotia","","Total coal production, all types","Tonnes","288","thousands","3","v188","2.1","538","","","","0"
"1947-10","New Brunswick","","Total coal production, all types","Tonnes","288","thousands","3","v189","3.1","46","","","","0"
"1947-10","Saskatchewan","","Total coal production, all types","Tonnes","288","thousands","3","v190","4.1","181","","","","0"
"1947-10","Alberta","","Total coal production, all types","Tonnes","288","thousands","3","v191","5.1","657","","","","0"
"1947-10","British Columbia","","Total coal production, all types","Tonnes","288","thousands","3","v192","6.1","151","","","","0"
"1947-11","Canada","","Total coal production, all types","Tonnes","288","thousands","3","v187","1.1","1587","","","","0"
"1947-11","Canada","","Bituminous","Tonnes","288","thousands","3","v194","1.2","1051","","","","0"
"1947-11","Canada","","Subbituminous","Tonnes","288","thousands","3","v195","1.3","348","","","","0"
"1947-11","Canada","","Lignite","Tonnes","288","thousands","3","v196","1.4","187","","","","0"
"1947-11","Canada","","Landed imports of coal","Tonnes","288","thousands","3","v197","1.5","2893","","","t","0"
